DATE;TIME;ZAT;OZNAKA;TIP_DOK;BR_DOK;POBROJ;MAG;IMEMAG;KOMINT;IMEKOM;DATUM;VALUTA;PLATENO;AZUR;NALOG;DOLGUVA;POBARUVA;FAKIZNOS;TRANSPORT;CARINA;UTOVAR;TROSOCI;NACINISPOR;TOVARLIST;VOZILO;PRIMIL;PORIZJAVA;MANIPUL;SIFCAR;IMECAR;SIFTRANS;IMETRANS;SIFSPED;IMESPED;DDV19;DDV5;DOK1;DOK2;DOK3;DOK4
07.11.2025;08:33:47;;;2;001409;leptokarija;100;\OR^E;1168;TP SENDVI^ARA 7;05.11.2025;12.11.2025;;;;8798,00;;8379,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;419,00;;;;
07.11.2025;08:33:59;;;2;001410;REPTIL-23 aerodrom;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;1953,00;;1860,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;93,00;;;;
12.11.2025;09:18:34;;;2;001411;;100;\OR^E;37;GALEKS RA DOOEL;05.11.2025;12.11.2025;;;;6835,50;;6510,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;325,50;;;;
07.11.2025;08:35:29;;;2;001412;n.lisi^e;100;\OR^E;56;BEJKING BREAD DOOEL NOVO LISI^E;05.11.2025;12.11.2025;;;;1092,00;;1040,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;52,00;;;;
10.11.2025;10:09:34;;;2;001413;ZUR market-13 dra^evo;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;11811,00;;11248,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;562,50;;;;
10.11.2025;10:18:35;;;2;001414;ZUR market-13 dra^evo;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;8031,00;;7648,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;382,50;;;;
10.11.2025;10:18:47;;;2;001415;ZUR market-7 dra^evo;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;4734,00;;4509,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;225,00;;;;
07.11.2025;08:43:20;;;2;001416;VERO-4 bitola;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;06.11.2025;05.01.2026;;;;18156,00;;17291,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;864,50;;;;
10.11.2025;10:34:27;;;5;000111;;100;\OR^E;100;MAGACIN \OR^E;05.11.2025;05.11.2025;;;;;;0,00;0,00;0,00;1,000000;0,00;;;;;;0,00;0;;0;;0;;0,00;0,00;;;;
07.11.2025;08:49:56;;;2;001417;VERO-3 tetovo;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;06.11.2025;05.01.2026;;;;7371,00;;7020,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;351,00;;;;
07.11.2025;08:49:29;;;2;001418;VERO- n.banka;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;06.11.2025;05.01.2026;;;;9786,00;;9320,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;466,00;;;;
